Gene ID	Gene Symbol
100	ADA
10005	ACOT8
10007	GNPDA1
100137049	PLA2G4B
10020	GNE
10026	PIGK
100287639	MTHFD2P1
10050	SLC17A4
100507855	-
100526794	NT5C1B-RDH14
10057	ABCC5
10060	ABCC9
10087	COL4A3BP
10090	UST
10135	NAMPT
10157	AASS
10164	CHST4
10165	SLC25A13
10166	SLC25A15
10195	ALG3
10201	NME6
10229	COQ7
10246	SLC17A2
10249	GLYAT
10257	ABCC4
102724197	LOC102724197
102724560	CBSL
10312	TCIRG1
10317	B3GALT5
10327	AKR1A1
10331	B3GNT3
1036	CDO1
10380	BPNT1
10390	CEPT1
10396	ATP8A1
1040	CDS1
10400	PEMT
10402	ST3GAL6
10423	CDIPT
10449	ACAA2
10455	ECI2
10476	ATP5H
10478	SLC25A17
10554	AGPAT1
10555	AGPAT2
10558	SPTLC1
10559	SLC35A1
1056	CEL
10560	SLC19A2
10568	SLC34A2
10587	TXNRD2
10588	MTHFS
10599	SLCO1B1
10606	PAICS
10610	ST6GALNAC2
10632	ATP5L
10654	PMVK
10678	B3GNT2
10682	EBP
10690	FUT9
107	ADCY1
10720	UGT2B11
10723	SLC12A7
10724	MGEA5
10728	PTGES3
10768	AHCYL1
10786	SLC17A3
10797	MTHFD2
108	ADCY2
10840	ALDH1L1
10841	FTCD
10846	PDE10A
10858	CYP46A1
10861	SLC26A1
10864	SLC22A7
10870	HCST
10873	ME3
109	ADCY3
10901	DHRS4
10905	MAN1A2
10919	EHMT2
10935	PRDX3
10948	STARD3
10965	ACOT2
10975	UQCR11
10991	SLC38A3
10993	SDS
10998	SLC27A5
10999	SLC27A4
11000	SLC27A3
11001	SLC27A2
1103	CHAT
11041	B4GAT1
11046	SLC35D2
1109	AKR1C4
111	ADCY5
11112	HIBADH
11136	SLC7A9
11164	NUDT5
1118	CHIT1
11181	TREH
11182	SLC2A6
11185	INMT
1119	CHKA
112	ADCY6
1120	CHKB
11212	PROSC
11226	GALNT6
11227	GALNT5
11238	CA5B
112483	SAT2
11253	MAN1B1
11254	SLC6A14
112611	RWDD2A
112724	RDH13
11282	MGAT4B
11283	CYP4F8
11285	B4GALT7
113	ADCY7
113026	PLCD3
11309	SLCO2B1
113189	CHST14
11320	MGAT4A
113235	SLC46A1
113278	SLC52A3
11332	ACOT7
11343	MGLL
113451	AZIN2
113675	SDSL
114	ADCY8
114112	TXNRD3
114134	SLC2A13
114805	GALNT13
114971	PTPMT1
115	ADCY9
115019	SLC26A9
115111	SLC26A7
1152	CKB
115286	SLC25A26
115584	SLC5A11
1158	CKM
1159	CKMT1B
1160	CKMT2
116255	MOGAT1
116285	ACSM1
116369	SLC26A8
117247	SLC16A10
117248	GALNT15
117283	IP6K3
1178	CLC
118881	COMTD1
12	SERPINA3
1200	TPP1
120103	SLC36A4
121260	SLC15A4
121278	TPH2
1215	CMA1
122481	AK7
122622	ADSSL1
122970	ACOT4
123041	SLC24A4
123099	DEGS2
123745	PLA2G4E
124	ADH1A
1244	ABCC2
124583	CANT1
124637	CYB5D1
124935	SLC43A2
124975	GGT6
125	ADH1B
125061	AFMID
125206	SLC5A10
125965	COX6B2
126	ADH1C
126129	CPT1C
126328	NDUFA11
126410	CYP4F22
1267	CNP
126792	B3GALT6
127	ADH4
127124	ATP6V1G3
128	ADH5
128869	PIGU
129607	CMPK2
129642	MBOAT2
129807	NEU4
13	AADAC
130	ADH6
130013	ACMSD
130367	SGPP2
130752	MDH1B
131	ADH7
1312	COMT
131669	UROC1
132	ADK
132158	GLYCTK
1327	COX4I1
132789	GNPDA2
1329	COX5B
1337	COX6A1
1339	COX6A2
1340	COX6B1
1345	COX6C
134526	ACOT12
1346	COX7A1
1347	COX7A2
1349	COX7B
1350	COX7C
1351	COX8A
135152	B3GAT2
1356	CP
1357	CPA1
1358	CPA2
1371	CPOX
1373	CPS1
1374	CPT1A
1375	CPT1B
1376	CPT2
137872	ADHFE1
137964	GPAT4
1384	CRAT
140679	SLC32A1
140838	NANP
142680	SLC34A3
1431	CS
144193	AMDHD1
144195	SLC2A14
145226	RDH12
146712	B3GNTL1
1468	SLC25A10
1491	CTH
15	AANAT
1503	CTPS1
150763	GPAT2
151531	UPP2
153201	SLC36A2
1537	CYC1
154091	SLC2A12
1543	CYP1A1
1544	CYP1A2
1545	CYP1B1
1548	CYP2A6
1549	CYP2A7
1551	CYP3A7
155184	SLC2A7
1553	CYP2A13
1555	CYP2B6
1557	CYP2C19
1558	CYP2C8
1559	CYP2C9
1562	CYP2C18
1565	CYP2D6
1571	CYP2E1
1572	CYP2F1
1573	CYP2J2
157506	RDH10
1576	CYP3A4
1577	CYP3A5
1579	CYP4A11
158	ADSL
1580	CYP4B1
1581	CYP7A1
1582	CYP8B1
1583	CYP11A1
1584	CYP11B1
1585	CYP11B2
1586	CYP17A1
1588	CYP19A1
1589	CYP21A2
159	ADSS
1591	CYP24A1
1592	CYP26A1
1593	CYP27A1
1594	CYP27B1
1595	CYP51A1
159963	SLC5A12
160287	LDHAL6A
1603	DAD1
160428	ALDH1L2
1606	DGKA
1607	DGKB
160728	SLC5A8
1608	DGKG
160851	DGKH
1609	DGKQ
1610	DAO
1621	DBH
1622	DBI
162417	NAGS
162466	PHOSPHO1
1629	DBT
1632	ECI1
1633	DCK
1635	DCTD
1636	ACE
1638	DCT
1644	DDC
1645	AKR1C1
1650	DDOST
166012	CHST13
1666	DECR1
166785	MMAA
169355	IDO2
170712	COX7B2
171425	CLYBL
1716	DGUOK
1717	DHCR7
1718	DHCR24
1719	DHFR
1723	DHODH
1727	CYB5R3
1737	DLAT
1738	DLD
1743	DLST
175	AGA
1757	SARDH
178	AGL
1786	DNMT1
1787	TRDMT1
1788	DNMT3A
1789	DNMT3B
1798	DPAGT1
18	ABAT
1800	DPEP1
1806	DPYD
1807	DPYS
1808	DPYSL2
1809	DPYSL3
1811	SLC26A3
1836	SLC26A2
1841	DTYMK
1854	DUT
189	AGXT
1890	TYMP
1891	ECH1
1892	ECHS1
19	ABCA1
191	AHCY
192134	B3GNT6
195814	SDR16C5
1962	EHHADH
196743	PAOX
196883	ADCY4
197257	LDHD
197258	FUK
199974	CYP4Z1
200010	SLC5A9
200576	PIKFYVE
201288	NOS2P2
2023	ENO1
2026	ENO2
2027	ENO3
203	AK1
2030	SLC29A1
204	AK2
205	AK4
2052	EPHX1
2053	EPHX2
206358	SLC36A1
2098	ESD
210	ALAD
2108	ETFA
2109	ETFB
211	ALAS1
2110	ETFDH
212	ALAS2
213	ALB
2131	EXT1
2132	EXT2
2134	EXTL1
2135	EXTL2
2137	EXTL3
2147	F2
215	ABCD1
216	ALDH1A1
2168	FABP1
217	ALDH2
218	ALDH3A1
2180	ACSL1
2181	ACSL3
2182	ACSL4
2184	FAH
219	ALDH1B1
2194	FASN
220	ALDH1A3
2203	FBP1
221	ALDH3B1
221823	PRPS1L1
222	ALDH3B2
2222	FDFT1
2224	FDPS
222537	HS3ST5
223	ALDH9A1
2235	FECH
224	ALDH3A2
2243	FGA
225	ABCD2
226	ALDOA
2271	FH
22856	CHSY1
229	ALDOB
22928	SEPHS2
22929	SEPHS1
22934	RPIA
22978	NT5C2
230	ALDOC
23007	PLCH1
23057	NMNAT2
231	AKR1B1
23169	SLC35D1
23205	ACSBG1
23236	PLCB1
2326	FMO1
2327	FMO2
2328	FMO3
2329	FMO4
2330	FMO5
23305	ACSL6
23315	SLC9A8
23382	AHCYL2
23396	PIP5K1C
23417	MLYCD
23428	SLC7A8
23430	TPSD1
23439	ATP1B4
23443	SLC35A3
23464	GCAT
23475	QPRT
23478	SEC11A
2348	FOLR1
23483	TGDS
23498	HAAO
2350	FOLR2
2352	FOLR3
23530	NNT
23533	PIK3R5
23539	SLC16A8
23545	ATP6V0A2
23556	PIGN
2356	FPGS
23563	CHST5
23600	AMACR
23632	CA14
23657	SLC7A11
23743	BHMT2
23761	PISD
239	ALOX12
240	ALOX5
242	ALOX12B
245972	ATP6V0D2
245973	ATP6V1C2
246	ALOX15
246213	SLC17A8
247	ALOX15B
248	ALPI
249	ALPL
2495	FTH1
250	ALPP
251	ALPPL2
2512	FTL
2517	FUCA1
2519	FUCA2
2523	FUT1
2525	FUT3
2530	FUT8
2531	KDSR
253430	IPMK
2538	G6PC
2539	G6PD
2542	SLC37A4
2548	GAA
256435	ST6GALNAC3
257068	PLCXD2
2571	GAD1
2572	GAD2
257202	GPX6
25769	SLC24A2
25796	PGLS
2581	GALC
2582	GALE
25828	TXN2
2583	B4GALNT1
25830	SULT4A1
2584	GALK1
2585	GALK2
2588	GALNS
2589	GALNT1
2590	GALNT2
25902	MTHFD1L
2591	GALNT3
2592	GALT
259230	SGMS1
2593	GAMT
2595	GANC
2597	GAPDH
26	AOC1
26002	MOXD1
260293	CYP4X1
26035	GLCE
26061	HACL1
26062	HYALP1
26063	DECR2
2618	GART
262	AMD1
26227	PHGDH
26229	B3GAT3
26266	SLC13A4
26275	HIBCH
26279	PLA2G2D
2628	GATM
26289	AK5
2629	GBA
26290	GALNT8
26301	GBGT1
2632	GBE1
26330	GAPDHS
2638	GC
2639	GCDH
2643	GCH1
2645	GCK
2650	GCNT1
26503	SLC17A5
2651	GCNT2
2653	GCSH
266722	HS6ST3
267020	ATP5L2
2673	GFPT1
2678	GGT1
2679	GGT3P
2683	B4GALT1
2686	GGT7
2687	GGT5
26873	OPLAH
2694	GIF
270	AMPD1
27010	TPK1
27034	ACAD8
27068	PPA2
27087	B3GAT1
27089	UQCRQ
271	AMPD2
2710	GK
27109	ATP5S
27115	PDE7B
2712	GK2
27124	INPP5J
2713	GK3P
27159	CHIA
27165	GLS2
2717	GLA
272	AMPD3
2720	GLB1
27232	GNMT
27235	COQ2
2729	GCLC
2730	GCLM
27306	HPGDS
2731	GLDC
27349	MCAT
2739	GLO1
27430	MAT2B
2744	GLS
2745	GLRX
2746	GLUD1
2747	GLUD2
275	AMT
2752	GLUL
276	AMY1A
2762	GMDS
2766	GMPR
277	AMY1B
278	AMY1C
279	AMY2A
2799	GNS
28	ABO
280	AMY2B
2805	GOT1
2806	GOT2
2819	GPD1
2820	GPD2
2821	GPI
28231	SLCO4A1
28232	SLCO3A1
28234	SLCO1B3
283871	PGP
284098	PIGW
284111	SLC13A5
284129	SLC26A11
284273	ZADH2
286016	TPI1P2
286297	LOC286297
2875	GPT
2876	GPX1
2877	GPX2
2878	GPX3
2879	GPX4
2880	GPX5
2882	GPX7
28965	SLC27A6
28972	SPCS1
28976	ACAD9
28982	FLVCR1
290	ANPEP
291	SLC25A4
29124	LGALS13
292	SLC25A5
293	SLC25A6
2936	GSR
2937	GSS
2944	GSTM1
2954	GSTZ1
2974	GUCY1B2
2977	GUCY1A2
2978	GUCA1A
29785	CYP2S1
29796	UQCR10
2982	GUCY1A3
2983	GUCY1B3
2984	GUCY2C
2986	GUCY2F
2987	GUK1
29880	ALG5
29881	NPC1L1
2990	GUSB
29906	ST8SIA5
2992	GYG1
29920	PYCR2
29922	NME7
29925	GMPPB
29926	GMPPA
29929	ALG6
29953	TRHDE
29958	DMGDH
29968	PSAT1
2997	GYS1
2998	GYS2
29988	SLC2A8
30	ACAA1
3000	GUCY2D
30061	SLC40A1
3028	HSD17B10
3029	HAGH
3030	HADHA
3032	HADHB
3033	HADH
3034	HAL
3036	HAS1
3037	HAS2
3038	HAS3
3067	HDC
3073	HEXA
3074	HEXB
3081	HGD
30814	PLA2G2E
30815	ST6GALNAC6
30833	NT5C
3098	HK1
3099	HK2
31	ACACA
3101	HK3
314	AOC2
3141	HLCS
3145	HMBS
3155	HMGCL
3156	HMGCR
3157	HMGCS1
3158	HMGCS2
316	AOX1
3162	HMOX1
3163	HMOX2
3176	HNMT
3177	SLC29A2
318	NUDT2
32	ACACB
3242	HPD
3251	HPRT1
3283	HSD3B1
3284	HSD3B2
3290	HSD11B1
3291	HSD11B2
3292	HSD17B1
3293	HSD17B3
3294	HSD17B2
3295	HSD17B4
33	ACADL
3340	NDST1
335	APOA1
337876	CHSY3
338	APOB
339221	ENPP7
34	ACADM
340024	SLC6A19
341	APOC1
3417	IDH1
3418	IDH2
3419	IDH3A
341947	COX8C
3420	IDH3B
3421	IDH3G
3422	IDI1
3423	IDS
3425	IDUA
343	AQP8
344	APOC2
345	APOC3
347734	SLC35B2
348	APOE
349565	NMNAT3
35	ACADS
353	APRT
358	AQP1
359	AQP2
36	ACADSB
361	AQP4
3612	IMPA1
3613	IMPA2
3614	IMPDH1
3615	IMPDH2
362	AQP5
3620	IDO1
3628	INPP1
3631	INPP4A
3632	INPP5A
3633	INPP5B
3635	INPP5D
3636	INPPL1
3658	IREB2
366	AQP9
37	ACADVL
3704	ITPA
3706	ITPKA
3707	ITPKB
3712	IVD
373156	GSTK1
374291	NDUFS7
374569	ASPG
374907	B3GNT8
375056	MIA3
3764	KCNJ8
376497	SLC27A1
3767	KCNJ11
377677	CA13
377841	ENTPD8
3795	KHK
38	ACAT1
383	ARG1
384	ARG2
386757	SLC6A10P
387775	SLC22A10
387893	KMT5A
389015	SLC9A4
39	ACAT2
3906	LALBA
3931	LCAT
3938	LCT
3939	LDHA
3945	LDHB
3948	LDHC
3988	LIPA
3990	LIPC
3992	FADS1
4017	LOXL2
4023	LPL
4025	LPO
4035	LRP1
4036	LRP2
4047	LSS
4048	LTA4H
4051	CYP4F3
4056	LTC4S
410	ARSA
411	ARSB
412	STS
4121	MAN1A1
4122	MAN2A2
4123	MAN2C1
4124	MAN2A1
4125	MAN2B1
4126	MANBA
4128	MAOA
4129	MAOB
4143	MAT1A
4144	MAT2A
4166	CHST6
4190	MDH1
4191	MDH2
4199	ME1
4200	ME2
4245	MGAT1
4247	MGAT2
4248	MGAT3
4249	MGAT5
4257	MGST1
4258	MGST2
4259	MGST3
427	ASAH1
4284	MIP
43	ACHE
4329	ALDH6A1
435	ASL
4351	MPI
4353	MPO
4357	MPST
4363	ABCC1
438	ASMT
440	ASNS
441024	MTHFD2L
443	ASPA
445	ASS1
4507	MTAP
4512	COX1
4513	COX2
4514	COX3
4519	CYTB
4522	MTHFD1
4524	MTHFR
4535	ND1
4536	ND2
4537	ND3
4538	ND4
4539	ND4L
4540	ND5
4541	ND6
4548	MTR
4594	MUT
4597	MVD
4598	MVK
4668	NAGA
4669	NAGLU
4694	NDUFA1
4695	NDUFA2
4696	NDUFA3
4697	NDUFA4
4698	NDUFA5
47	ACLY
4700	NDUFA6
4701	NDUFA7
4702	NDUFA8
4704	NDUFA9
4705	NDUFA10
4706	NDUFAB1
4707	NDUFB1
4708	NDUFB2
4709	NDUFB3
471	ATIC
4710	NDUFB4
4711	NDUFB5
4712	NDUFB6
4713	NDUFB7
4714	NDUFB8
4715	NDUFB9
4716	NDUFB10
4717	NDUFC1
4718	NDUFC2
4719	NDUFS1
4720	NDUFS2
4722	NDUFS3
4723	NDUFV1
4724	NDUFS4
4725	NDUFS5
4726	NDUFS6
4728	NDUFS8
4729	NDUFV2
4731	NDUFV3
4758	NEU1
4759	NEU2
476	ATP1A1
477	ATP1A2
478	ATP1A3
48	ACO1
480	ATP1A4
481	ATP1B1
482	ATP1B2
483	ATP1B3
4830	NME1
4831	NME2
4832	NME3
4833	NME4
4837	NNMT
4842	NOS1
4843	NOS2
4846	NOS3
4860	PNP
4881	NPR1
4882	NPR2
4891	SLC11A2
490	ATP2B1
4905	NSF
4907	NT5E
491	ATP2B2
492	ATP2B3
493	ATP2B4
4942	OAT
495	ATP4A
4952	OCRL
4953	ODC1
496	ATP4B
4967	OGDH
498	ATP5A1
50	ACO2
5009	OTC
501	ALDH7A1
5019	OXCT1
5033	P4HA1
5034	P4HB
5048	PAFAH1B1
50484	RRM2B
50487	PLA2G3
5049	PAFAH1B2
5050	PAFAH1B3
50506	DUOX2
5051	PAFAH2
50515	CHST11
5052	PRDX1
5053	PAH
506	ATP5B
50614	GALNT9
50617	ATP6V0A4
50700	RDH8
50808	AK3
50814	NSDHL
509	ATP5C1
5091	PC
5092	PCBD1
50940	PDE11A
5095	PCCA
5096	PCCB
51	ACOX1
51004	COQ6
51005	AMDHD2
51022	GLRX2
5105	PCK1
51056	LAP3
5106	PCK2
51071	DERA
51079	NDUFA13
51086	TNNI3K
51102	MECR
51109	RDH11
51146	A4GNT
51166	AADAT
51179	HAO2
51181	DCXR
51196	PLCE1
51205	ACP6
51227	PIGP
51251	NT5C3A
51268	PIPOX
51292	GMPR2
51296	SLC15A3
513	ATP5D
5130	PCYT1A
51301	GCNT4
51302	CYP39A1
5136	PDE1A
5137	PDE1C
5138	PDE2A
51380	CSAD
51382	ATP6V1D
5139	PDE3A
514	ATP5E
5140	PDE3B
5141	PDE4A
5142	PDE4B
5143	PDE4C
5144	PDE4D
51447	IP6K2
5145	PDE6A
5146	PDE6C
5147	PDE6D
51477	ISYNA1
51478	HSD17B7
5148	PDE6G
5149	PDE6H
515	ATP5F1
5150	PDE7A
5151	PDE8A
5152	PDE9A
51529	ANAPC11
5153	PDE1B
51540	SCLY
51550	CINP
51557	LGSN
5158	PDE6B
516	ATP5G1
5160	PDHA1
51604	PIGT
51606	ATP6V1H
5161	PDHA2
5162	PDHB
5167	ENPP1
5168	ENPP2
5169	ENPP3
517	ATP5G2
51700	CYB5R2
51703	ACSL5
51706	CYB5R1
5172	SLC26A4
51727	CMPK1
51733	UPB1
518	ATP5G3
51805	COQ3
51809	GALNT7
5184	PEPD
5198	PFAS
52	ACP1
5207	PFKFB1
5208	PFKFB2
5209	PFKFB3
521	ATP5I
5210	PFKFB4
5211	PFKL
5213	PFKM
5214	PFKP
522	ATP5J
5223	PGAM1
5224	PGAM2
5226	PGD
523	ATP6V1A
5230	PGK1
5232	PGK2
5236	PGM1
5238	PGM3
5244	ABCB4
525	ATP6V1B1
5250	SLC25A3
5251	PHEX
526	ATP6V1B2
5264	PHYH
5265	SERPINA1
527	ATP6V0C
5277	PIGA
5279	PIGC
528	ATP6V1C1
5281	PIGF
5283	PIGH
5286	PIK3C2A
5287	PIK3C2B
5288	PIK3C2G
5289	PIK3C3
529	ATP6V1E1
5290	PIK3CA
5291	PIK3CB
5293	PIK3CD
5294	PIK3CG
5295	PIK3R1
5296	PIK3R2
5297	PI4KA
5298	PI4KB
53	ACP2
5305	PIP4K2A
5313	PKLR
5315	PKM
5319	PLA2G1B
5320	PLA2G2A
5321	PLA2G4A
5322	PLA2G5
533	ATP6V0B
5330	PLCB2
5331	PLCB3
5332	PLCB4
5333	PLCD1
5334	PLCL1
53343	NUDT9
5335	PLCG1
53354	PANK1
