REACTION,DELTAG [kJ/mol],UNCERTAINTY [kJ/mol]
10FTHF5GLUtl,0,0
10FTHF5GLUtm,0,0
10FTHF6GLUtl,0,0
10FTHF6GLUtm,0,0
10FTHF7GLUtl,0,0
10FTHF7GLUtm,0,0
10FTHFtl_for,0,0
10FTHFtm_for,0,0
11DOCRTSLtm_for,0,0
11DOCRTSLtr_for,0,0
11DOCRTSTRNtm_for,0,0
11DOCRTSTRNtr_for,0,0
13DAMPPOX,-91.39,9.72
1a_24_25VITD2Hm,-999999,0
1a_24_25VITD3Hm,-451.98,7.18
1a_25VITD2Hm,-450.36,7.01
1a_25VITD3Hm,-443.83,6.88
1MNCAMti,11.33,4.76
1PPDCRp,-64.7,5.14
24_25DHVITD2t,0,0
24_25DHVITD2tm,0,0
24_25DHVITD3t,0,0
24_25DHVITD3tm,0,0
24_25VITD2Hm,-999999,0
24_25VITD3Hm,-443.83,6.88
24NPHte_for,0,0
25HVITD2t,0,0
25HVITD2tin,0,0
25HVITD2tin_m,0,0
25HVITD2tm,0,0
25HVITD3t,0,0
25HVITD3tin,0,0
25HVITD3tin_m,0,0
25HVITD3tm,0,0
25VITD2Hm,-451.98,7.18
25VITD3Hm,-451.98,7.18
2AMACHYD,-999999,0
2AMACSULT,-999999,0
2AMADPTm,0,0
2DR1PP,-13.92,4.51
2HBO_for,61.52,5.46
2HBt2_for,0,0
2HCO3_NAt_for,0,0
2MCITt_for,0,0
2OXOADOXm,-36.18,6.2
2OXOADPTm_for,0,0
34DHOXPEGOX_for,-61.46,5.14
34DHOXPEGt_for,0,0
34DHPHAMT,-999999,0
34DHPHEt_for,0,0
34DHPLACOX,46.17,9.69
34DHPLACOX_NADP__for,49.6,9.7
34DHXMANDACOX,46.17,9.69
34DHXMANDACOX_NADP__for,49.6,9.7
34HPLFM,-123.92,9.34
34HPPOR,-549.2,11.76
35CGMPtn_for,0,0
3AIBt,0,0
3AIBTm_for,-1.35,3.59
3AIBtm,-999999,0
3DPHBH1,-480.35,7.67
3DPHBH2,-483.78,7.68
3DSPHR,-59.35,5.12
3HAO,-999999,0
3HBCDm_for,-4.25,4.73
3HBCOAHLm,17.6,5.65
3HKYNAKGAT,-8.68,3.64
3HLYTCL,-55.9,6.98
3HPCOAHYD,4.41,7.13
3HPPD_for,66.25,6.69
3HXKYNDCL,-55.9,6.98
3HXKYNOXDA,-201.12,14.17
3M4HDXPAC_for,46.17,9.69
3MLDAt_for,0,0
3MOBt2im,0,0
3MOPt2im,0,0
3MOX4HOXPGALDOX,46.17,9.69
3MOX4HOXPGALDOX_NADP__for,49.6,9.7
3MOXTYROX,-89.02,8.97
3NTD7l,-11.96,5.85
3SALAASPm_for,0,0
3SALACBOXL,-86.81,10.82
3SALAOX,-999999,0
3SALATAi,-39.59,6.03
3SALATAim,-39.59,6.03
3SPYRSP,-999999,0
3SPYRSPm,-999999,0
41R1H2MAE12BOOX,-71.27,17.09
41R2A1H12BOOX,-89.02,8.97
42A12BOOX,-89.02,8.97
4ABUTtm_for,0,0
4HBZCOAFm,17.67,6
4HBZFm,18.75,5.46
4HDEBRISOQUINEte_for,0,0
4HGLSDm,46.17,9.69
4HOXPACDOX_NADP__for,49.6,9.7
4MOPt2im,0,0
4MPTNLte_for,0,0
4MPTNLtm_for,0,0
4MPTNLtr_for,0,0
4MTOLBUTAMIDEte_for,0,0
4NPHSFte_for,0,0
4NPHSULT,-999999,0
4NPHte_for,0,0
4PYRDX,11.33,4.76
5ADTSTSTERONEGLCte,11.33,4.76
5ADTSTSTERONEGLCtr_for,0,0
5ADTSTSTERONESte_for,0,0
5ADTSTSTERONESULT,-999999,0
5ADTSTSTERONEte_for,0,0
5ADTSTSTERONEtr_for,0,0
5AOPtm_for,0,0
5DHFtl,0,0
5FTHFt2_for,0,0
5HLTDL,-55.9,6.98
5HOMEPRAZOLEte_for,0,0
5HOXINDACTO2OX,-129.26,8.47
5HOXINDACTOXm,46.17,9.69
5HOXINOXDA,-89.02,8.97
5HTRPDOX,-356.82,16.01
5HTRPVESSEC,11.33,4.76
5HXKYNDCL,-55.9,6.98
5HXKYNOXDA,-201.12,14.17
5MTHFt_for,0,0
5MTHFt2_for,0,0
5THFtl,0,0
5THFtm,0,0
6DHFtl,0,0
6DHFtm,0,0
6HTSTSTERONEte_for,0,0
6HTSTSTERONEtr_for,0,0
6THFtl,0,0
6THFtm,0,0
7DHCHSTEROLtr_for,0,0
7DHFtl,0,0
7DHFtm,0,0
7THFtl,0,0
7THFtm,0,0
A_MANASE,-2.98,7.58
A_MANASEly,-2.98,7.58
A4GALTc,-999999,0
A4GALTg,-999999,0
A4GNT1g,-999999,0
A4GNT2g,-999999,0
AACOAT,-9.61,2.3
AACTOOR,-92.6,9.28
AACTtm,0,0
AASAD3m,54.79,10.72
AATAi_for,-0.72,4.73
ABO1g,-999999,0
ABO2g,-999999,0
ABO3g,-999999,0
ABO4g,-999999,0
ABO5g,-999999,0
ABO6g,-999999,0
ABO7g,-999999,0
